Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,02-02-2003,Empoli,Como,0,0,D,0,0,D,1.72,3.1,4.5,1.75,3.2,4.5,1.9,2.9,3.8,1.73,3.2,4.33,1.73,3.2,4.5,1.73,3.2,4.5,1.72,3.1,4.5,1.9,1.7,G. Paparesta,6,13,1,5,21,22,1,5,5,1,0,1,2,3,4,1.95,3,3.95,2.1,2.9,3.6,2.2,2.8,3.1,2.2,3,3,2.1,2.88,3.6,2.1,3,3.2,1.91
I1,02-02-2003,Milan,Modena,2,1,H,0,0,D,1.2,5,11,1.2,5.1,13,1.2,4.8,11,1.2,5,11,1.22,5,11,1.22,5,11,1.2,5,11,1.65,2,N. Ayroldi,5,7,4,1,21,19,3,8,3,3,0,0,2,3,4,2,3,3.8,2,3,3.75,2,2.9,3.4,2.1,3,3.2,2,3,3.75,2,3,3.4,1.91
I1,02-02-2003,Parma,Udinese,3,2,H,1,0,H,1.9,3.2,3.5,1.85,3.15,4.1,1.9,2.9,3.8,1.8,3.2,4,1.85,3.1,4,1.85,3.1,4,1.8,3.1,4,1.8,1.8,D. Tombolini,12,7,6,3,21,11,1,8,1,2,0,1,1.9,3.1,4.33,1.95,3.1,3.85,1.9,3,4.1,2,2.9,3.4,1.8,3.2,4,1.91,3.05,4,1.8,3.1,4,1.83
I1,02-02-2003,Reggina,Perugia,3,1,H,2,1,H,2.2,3,3,2.1,3,3.4,2.1,2.9,3.2,2.1,3,3.2,2.2,2.88,3.2,2.2,2.88,3.2,2.2,3,3,1.8,1.8,M. Saccani,19,8,7,5,21,19,5,5,2,2,0,0,2.4,3,3,2.3,2.9,3.15,2.45,2.9,2.9,2.4,2.9,2.7,2.2,3,3,2.3,3,3,2.3,2.9,2.9,2.3
I1,02-02-2003,Torino,Inter,0,2,A,0,0,D,4.33,3.2,1.72,4.5,3.2,1.75,4,3.2,1.75,4.33,3.2,1.73,4.33,3.2,1.73,4.33,3.2,1.75,4.5,3.1,1.72,1.7,1.9,P. Bertini,12,13,6,6,20,25,7,6,2,2,0,0,5.5,3.4,1.66,5.1,3.2,1.7,5,3.2,1.7,4.5,3.1,1.75,5,3.25,1.62,5.5,3.2,1.7,4.5,3.1,1.72,5
I1,08-02-2003,Juventus,Empoli,1,0,H,1,0,H,1.25,4.5,10,1.3,4.75,9,1.2,5,10,1.25,4.5,10,1.25,4.75,10,1.25,4.75,10,1.22,5,9.5,1.7,1.9,S. Farina,6,6,3,3,26,28,4,4,2,3,0,0,3.75,3.2,2,3.65,3.1,2,3.75,3,2,3.5,3,2,3.2,3,2.1,4,3,2,3.3,2.87,2.1,3.25
I1,08-02-2003,Udinese,Piacenza,2,1,H,1,0,H,1.615,3.25,5,1.65,3.25,5.4,1.5,3.4,5.6,1.57,3.25,5.5,1.62,3.2,5.5,1.6,3.25,5.5,1.57,3.3,5.5,1.85,1.75,L. Palanca,5,6,4,2,16,18,3,1,3,3,0,2,2.62,3,2.75,2.7,2.85,2.65,2.5,3,2.7,2.55,2.9,2.7,2.38,2.88,2.8,2.6,3,2.6,2.4,2.87,2.8,2.5
I1,09-02-2003,Bologna,Atalanta,2,3,A,0,1,A,1.727,3.1,4.5,1.8,3.15,4.35,1.75,2.9,4.6,1.73,3.2,4.33,1.67,3.1,5,1.7,3.1,5,1.72,3.1,4.5,1.8,1.8,M. Ciampi,16,15,11,7,19,22,4,10,1,4,0,0,1.72,3.2,5.5,1.7,3.2,5,1.7,3.2,5,1.7,3.1,4.8,1.62,3.25,5,1.67,3.3,5,1.66,3.1,5,1.62
I1,09-02-2003,Brescia,Chievo,0,0,D,0,0,D,2.25,3,2.875,2.3,2.95,3.05,2.3,2.8,2.9,2.2,3,3,2.38,3,2.75,2.375,3,2.75,2.4,2.9,2.75,1.7,1.9,A. Giannoccaro,8,9,3,5,17,24,1,2,2,4,1,0,2.05,3,4,2,3.1,3.65,2,3,3.75,2,2.9,3.7,1.91,3.2,3.5,2,3,3.75,1.9,2.87,4,1.91
I1,09-02-2003,Como,Parma,2,2,D,0,1,A,3.5,3.2,1.909,3.65,3.05,2,3.4,2.9,2,3.2,3,2.1,3.4,3.1,2,3.4,3.1,2,3.4,3,2,1.9,1.7,N. Stefanini,13,11,8,5,17,15,5,3,1,1,0,0,1.57,3.5,6.5,1.5,3.5,6.75,1.55,3.3,6.5,1.6,3.3,5.5,1.62,3.2,5.5,1.53,3.4,6.5,1.5,3.4,6,1.53
